,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2019-12-04,510050,50ETF,分现,2.291,2700.0,6185.58,259.2,50.0,259.2,1.29,,A 股,大盘股,上证50,111
1,,2019-05-16,001051,华夏上证50ETF联接A,买入,0.9176,2397.63,2200.0,0.0,0.0,0.0,2.64,,A 股,大盘股,上证50,111
2,,2020-04-08,110003,易方达上证50指数A,买入,1.7009,115.67,196.74,0.0,0.0,0.0,0.3,,A 股,大盘股,上证50,111
3,,2019-04-09,501050,华夏上证50AH优选指数,买入,1.2735,452.1,575.75,0.0,0.0,0.0,0.87,,A 股,大盘股,50AH,112
4,,2019-12-13,510300,300ETF,分现,3.385,9100.0,30804.57,1000.8,15.75,1000.8,6.36,,A 股,大盘股,沪深300,113
5,,2019-09-18,100038,富国量化沪深300,分额,1.3115,17384.73,22800.0,0.0,0.0,0.0,27.33,,A 股,大盘股,沪深300,113
6,,2019-05-15,000051,华夏沪深300ETF联接A,初始化,1.2285,325.61,400.0,0.0,0.0,0.0,0.48,,A 股,大盘股,沪深300,113
7,,2020-04-08,519671,银河沪深300价值指数,买入,1.4208,7054.38,10022.53,0.0,0.0,0.0,12.07,,A 股,大盘股,300价值,114
8,,2019-12-06,310398,申万菱信沪深300价值指数,分额,1.4373,116.1,166.87,12.15,0.0,12.15,0.22,,A 股,大盘股,300价值,114
9,,2020-03-30,530015,建信深证基本面60ETF联接A,买入,2.1321,2162.09,4609.86,0.0,0.0,0.0,6.97,,A 股,大盘股,基本面60,115
10,,2019-12-03,070023,嘉实深证基本面120联接,买入,1.7984,2384.94,4289.0,0.0,0.0,0.0,4.76,,A 股,大盘股,基本面120,116
11,,2020-02-26,510500,500ETF,卖出,5.581,37600.0,209841.66,858.0,3959.37,0.0,48.19,,A 股,中小盘股,中证500,121
12,,2020-02-04,000478,建信中证500指数增强A,买入,1.9295,9434.76,18204.0,0.0,0.0,0.0,27.28,,A 股,中小盘股,中证500,121
13,,2019-09-20,161017,富国中证500,分额,1.3399,11576.78,15512.11,87.89,0.0,87.89,23.38,,A 股,中小盘股,中证500,121
14,,2020-02-26,162711,广发中证500ETF联接A,卖出,1.0451,9368.45,9790.79,64.277,0.0,0.0,13.48,,A 股,中小盘股,中证500,121
15,,2019-11-01,001052,华夏中证500ETF联接A,买入,0.5442,9192.24,5002.0,0.0,0.0,0.0,6.0,,A 股,中小盘股,中证500,121
16,,2020-02-18,003318,景顺长城中证500低波动,买入,0.9403,8081.83,7599.57,0.0,0.0,0.0,9.06,,A 股,中小盘股,500低波动,122
17,,2019-12-16,162413,华宝中证1000指数分级,分额,0.776,1546.42,1200.0,0.0,0.0,0.0,1.44,,A 股,中小盘股,中证1000,123
18,,2020-03-02,100032,富国中证红利指数增强,分额,0.9214,89564.73,82522.0,0.0,0.0,0.0,123.66,,A 股,红利价值,中证红利,131
19,,2020-03-16,090010,大成中证红利指数,买入,1.6513,5839.6,9642.67,40.77,0.0,40.77,11.61,,A 股,红利价值,中证红利,131
20,,2020-03-19,515180,100红利,买入,0.865,3000.0,2595.61,122.4,0.0,0.0,0.71,,A 股,红利价值,中证红利,131
21,,2019-12-10,000968,广发养老指数A,买入,0.9145,76415.38,69879.18,0.0,0.0,0.0,83.73,,A 股,行业股,养老产业,141
22,,2020-03-25,001180,广发医药卫生联接A,卖出,0.7397,48011.92,35513.06,98.272,0.0,0.0,44.73,,A 股,行业股,全指医药,142
23,,2020-03-25,159938,广发医药,卖出,1.167,9600.0,11206.74,993.6,0.0,0.0,5.08,,A 股,行业股,全指医药,142
24,,2020-04-10,512580,环保ETF,买入,0.866,37100.0,32144.24,0.0,0.0,0.0,6.18,,A 股,行业股,中证环保,143
25,,2019-08-23,001064,广发中证环保产业A,买入,0.588,45807.57,26936.0,0.0,0.0,0.0,32.28,,A 股,行业股,中证环保,143
26,,2020-04-10,512980,传媒ETF,买入,0.864,37200.0,32125.93,0.0,0.0,0.0,6.18,,A 股,行业股,中证传媒,144
27,,2020-03-09,004752,广发中证传媒ETF联接A,卖出,0.6895,9361.45,6454.46,855.637,0.0,0.0,53.54,,A 股,行业股,中证传媒,144
28,,2018-10-15,512880,证券ETF,买入,0.783,32700.0,25591.98,0.0,0.0,0.0,5.12,,A 股,行业股,证券公司,145
29,,2019-11-20,502010,易方达证券公司分级,买入,0.8937,969.98,866.9,0.0,0.0,0.0,0.85,,A 股,行业股,证券公司,145
30,,2020-04-08,001594,天弘中证银行指数A,买入,1.1758,2686.22,3158.33,0.0,0.0,0.0,3.18,,A 股,行业股,中证银行,146
31,,2020-02-26,001469,广发中证全指金融地产联接A,买入,0.9544,29827.12,28467.0,0.0,0.0,0.0,34.12,,A 股,行业股,金融地产,147
