,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
0,,2020-05-12,110003,易方达上证50指数A,买入,1.7482,95.38,166.74,0.0,0.0,0.0,0.25,,A 股,大盘股,上证50,111
1,,2019-04-09,501050,华夏上证50AH优选指数,买入,1.2891,62.09,80.04,0.0,0.0,0.0,0.12,,A 股,大盘股,50AH,112
2,,2020-05-12,519671,银河沪深300价值指数,买入,1.4185,1579.26,2240.17,0.0,0.0,0.0,2.71,,A 股,大盘股,300价值,114
3,,2019-12-06,310398,申万菱信沪深300价值指数,分额,1.4372,25.8,37.08,2.7,0.0,2.7,0.05,,A 股,大盘股,300价值,114
4,,2020-03-30,530015,建信深证基本面60ETF联接A,买入,2.1246,456.18,969.22,0.0,0.0,0.0,1.49,,A 股,大盘股,基本面60,115
5,,2019-12-03,070023,嘉实深证基本面120联接,买入,1.7966,492.58,884.98,0.0,0.0,0.0,0.94,,A 股,大盘股,基本面120,116
6,,2020-02-18,003318,景顺长城中证500低波动,买入,0.9401,1697.75,1596.07,0.0,0.0,0.0,1.91,,A 股,中小盘股,500低波动,122
7,,2020-05-12,090010,大成中证红利指数,买入,1.6459,1283.31,2112.23,40.77,0.0,40.77,2.58,,A 股,红利价值,中证红利,131
8,,2020-02-04,501029,华宝红利基金,清仓,0.0,0.0,0.0,0.0,-13.903,0.0,0.7,,A 股,红利价值,标普红利,132
9,,2019-12-10,000968,广发中证养老,买入,0.9599,390.82,375.15,0.0,0.0,0.0,0.44,,A 股,行业股,养老产业,141
10,,2020-02-11,001550,天弘中证医药100A,清仓,0.0,0.0,0.0,0.0,44.99,0.0,0.23,,A 股,行业股,全指医药,142
11,,2020-05-12,001594,天弘中证银行指数A,买入,1.1676,623.65,728.15,0.0,0.0,0.0,0.74,,A 股,行业股,中证银行,146
12,,2020-05-12,008975,富国中证消费50ETF联接A,买入,1.0822,92.72,100.34,0.0,0.0,0.0,0.12,,A 股,行业股,全指消费,148
13,,2020-03-30,161725,招商中证白酒指数,初始化,0.8711,38.25,33.32,0.0,0.0,0.0,0.03,,A 股,行业股,全指消费,148
14,,2020-04-08,501021,华宝香港中小,买入,1.3463,977.05,1315.38,0.0,0.0,0.0,1.3,,海外新兴,香港,香港中小,213
15,,2020-05-12,006327,易方达中概互联50ETF联接人民币A,买入,1.1625,388.7,451.86,0.0,0.0,0.0,0.56,,海外新兴,海外互联,海外互联网,221
16,,2020-05-12,164906,交银中证海外中国互联网指数,买入,1.276,166.61,212.6,0.0,0.0,0.0,0.27,,海外新兴,海外互联,海外互联网,221
17,,2020-03-16,040046,华安纳斯达克100指数,买入,2.2753,38.03,86.53,0.0,0.0,0.0,0.1,,海外成熟,美国,纳斯达克,312
18,,2020-04-08,161128,易方达标普信息科技,买入,1.7335,53.35,92.48,0.0,0.0,0.0,0.11,,海外成熟,美国,信息科技,315
19,,2019-05-14,002086,大成景安短融债券E,清仓,0.0,0.0,0.0,0.0,0.272,0.0,0.0,,债券,国内债券,纯债,511
